,Date,Origin Country Code,State of Entry,Total Arrivals,Male Arrivals,Female Arrivals,Nationality
0,1/1/2020,ABW,Kedah,0,0,0,Aruba
1,1/1/2020,ABW,Pulau Pinang,0,0,0,Aruba
2,1/1/2020,AFG,Johor,2,0,2,Afghanistan
3,1/1/2020,AFG,Kedah,1,1,0,Afghanistan
4,1/1/2020,AFG,Perlis,0,0,0,Afghanistan
5,1/1/2020,AFG,Pulau Pinang,0,0,0,Afghanistan
6,1/1/2020,AFG,Sarawak,0,0,0,Afghanistan
7,1/1/2020,AFG,Selangor,180,161,19,Afghanistan
8,1/1/2020,AGO,Johor,0,0,0,Angola
9,1/1/2020,AGO,Kedah,0,0,0,Angola
10,1/1/2020,AGO,Sabah,0,0,0,Angola
11,1/1/2020,AGO,Selangor,9,6,3,Angola
12,1/1/2020,AIA,Selangor,0,0,0,Anguilla
13,1/1/2020,ALB,Johor,35,17,18,Albania
14,1/1/2020,ALB,Kedah,6,4,2,Albania
15,1/1/2020,ALB,Perak,1,1,0,Albania
16,1/1/2020,ALB,Perlis,1,1,0,Albania
17,1/1/2020,ALB,Pulau Pinang,2,0,2,Albania
18,1/1/2020,ALB,Sabah,1,1,0,Albania
19,1/1/2020,ALB,Sarawak,1,1,0,Albania
20,1/1/2020,ALB,Selangor,62,31,31,Albania
21,1/1/2020,AND,Johor,0,0,0,Andorra
22,1/1/2020,AND,Kedah,0,0,0,Andorra
23,1/1/2020,AND,Perlis,0,0,0,Andorra
24,1/1/2020,AND,Pulau Pinang,0,0,0,Andorra
25,1/1/2020,AND,Selangor,5,3,2,Andorra
26,1/1/2020,ANT,Selangor,0,0,0,Netherlands Antilles
27,1/1/2020,ARE,Johor,22,14,8,United Arab Emirates
28,1/1/2020,ARE,Kedah,4,3,1,United Arab Emirates
29,1/1/2020,ARE,Kelantan,0,0,0,United Arab Emirates
30,1/1/2020,ARE,Perak,0,0,0,United Arab Emirates
31,1/1/2020,ARE,Perlis,0,0,0,United Arab Emirates
32,1/1/2020,ARE,Pulau Pinang,4,3,1,United Arab Emirates
33,1/1/2020,ARE,Sabah,0,0,0,United Arab Emirates
34,1/1/2020,ARE,Sarawak,0,0,0,United Arab Emirates
35,1/1/2020,ARE,Selangor,371,252,119,United Arab Emirates
36,1/1/2020,ARG,Johor,221,133,88,Argentina
37,1/1/2020,ARG,Kedah,304,148,156,Argentina
38,1/1/2020,ARG,Kelantan,5,2,3,Argentina
39,1/1/2020,ARG,Melaka,0,0,0,Argentina
40,1/1/2020,ARG,Perak,0,0,0,Argentina
41,1/1/2020,ARG,Perlis,20,11,9,Argentina
42,1/1/2020,ARG,Pulau Pinang,5,2,3,Argentina
43,1/1/2020,ARG,Sabah,3,1,2,Argentina
44,1/1/2020,ARG,Sarawak,1,1,0,Argentina
45,1/1/2020,ARG,Selangor,908,464,444,Argentina
46,1/1/2020,ARG,W.P. Labuan,0,0,0,Argentina
47,1/1/2020,ARM,Johor,5,2,3,Armenia
48,1/1/2020,ARM,Kedah,3,1,2,Armenia
49,1/1/2020,ARM,Kelantan,1,1,0,Armenia
50,1/1/2020,ARM,Perak,2,0,2,Armenia
51,1/1/2020,ARM,Perlis,0,0,0,Armenia
52,1/1/2020,ARM,Pulau Pinang,1,1,0,Armenia
53,1/1/2020,ARM,Sabah,0,0,0,Armenia
54,1/1/2020,ARM,Sarawak,0,0,0,Armenia
55,1/1/2020,ARM,Selangor,79,22,57,Armenia
56,1/1/2020,ATA,Selangor,0,0,0,Antarctica
57,1/1/2020,ATG,Johor,6,3,3,Antigua and Barbuda
58,1/1/2020,ATG,Kedah,0,0,0,Antigua and Barbuda
59,1/1/2020,ATG,Pulau Pinang,0,0,0,Antigua and Barbuda
60,1/1/2020,ATG,Sarawak,0,0,0,Antigua and Barbuda
61,1/1/2020,ATG,Selangor,22,12,10,Antigua and Barbuda
62,1/1/2020,AUS,Johor,8923,4980,3943,Australia
63,1/1/2020,AUS,Kedah,1138,636,502,Australia
64,1/1/2020,AUS,Kelantan,21,15,6,Australia
65,1/1/2020,AUS,Melaka,10,7,3,Australia
66,1/1/2020,AUS,Negeri Sembilan,0,0,0,Australia
67,1/1/2020,AUS,Pahang,52,23,29,Australia
68,1/1/2020,AUS,Perak,282,156,126,Australia
69,1/1/2020,AUS,Perlis,115,64,51,Australia
70,1/1/2020,AUS,Pulau Pinang,2617,1339,1278,Australia
71,1/1/2020,AUS,Sabah,908,464,444,Australia
72,1/1/2020,AUS,Sarawak,956,535,421,Australia
73,1/1/2020,AUS,Selangor,36952,20700,16252,Australia
74,1/1/2020,AUS,Terengganu,0,0,0,Australia
75,1/1/2020,AUS,W.P. Labuan,24,17,7,Australia
76,1/1/2020,AUT,Johor,242,159,83,Austria
77,1/1/2020,AUT,Kedah,170,97,73,Austria
78,1/1/2020,AUT,Kelantan,8,7,1,Austria
79,1/1/2020,AUT,Melaka,0,0,0,Austria
80,1/1/2020,AUT,Negeri Sembilan,0,0,0,Austria
81,1/1/2020,AUT,Pahang,0,0,0,Austria
82,1/1/2020,AUT,Perak,8,7,1,Austria
83,1/1/2020,AUT,Perlis,28,19,9,Austria
84,1/1/2020,AUT,Pulau Pinang,75,57,18,Austria
85,1/1/2020,AUT,Sabah,26,15,11,Austria
86,1/1/2020,AUT,Sarawak,18,13,5,Austria
87,1/1/2020,AUT,Selangor,904,585,319,Austria
88,1/1/2020,AUT,Terengganu,0,0,0,Austria
89,1/1/2020,AUT,W.P. Labuan,1,1,0,Austria
90,1/1/2020,AZE,Johor,6,5,1,Azerbaijan
91,1/1/2020,AZE,Kedah,9,8,1,Azerbaijan
92,1/1/2020,AZE,Kelantan,0,0,0,Azerbaijan
93,1/1/2020,AZE,Melaka,2,1,1,Azerbaijan
94,1/1/2020,AZE,Perlis,0,0,0,Azerbaijan
95,1/1/2020,AZE,Pulau Pinang,0,0,0,Azerbaijan
96,1/1/2020,AZE,Sabah,3,2,1,Azerbaijan
97,1/1/2020,AZE,Sarawak,3,1,2,Azerbaijan
98,1/1/2020,AZE,Selangor,159,89,70,Azerbaijan
99,1/1/2020,AZE,W.P. Labuan,1,1,0,Azerbaijan
100,1/1/2020,BDI,Pulau Pinang,0,0,0,Burundi
101,1/1/2020,BDI,Sarawak,0,0,0,Burundi
102,1/1/2020,BDI,Selangor,2,2,0,Burundi
103,1/1/2020,BEL,Johor,265,171,94,Belgium
104,1/1/2020,BEL,Kedah,140,80,60,Belgium
105,1/1/2020,BEL,Kelantan,5,3,2,Belgium
106,1/1/2020,BEL,Melaka,0,0,0,Belgium
107,1/1/2020,BEL,Negeri Sembilan,0,0,0,Belgium
108,1/1/2020,BEL,Pahang,0,0,0,Belgium
109,1/1/2020,BEL,Perak,2,0,2,Belgium
110,1/1/2020,BEL,Perlis,14,8,6,Belgium
111,1/1/2020,BEL,Pulau Pinang,76,53,23,Belgium
112,1/1/2020,BEL,Sabah,17,12,5,Belgium
113,1/1/2020,BEL,Sarawak,15,12,3,Belgium
114,1/1/2020,BEL,Selangor,1243,812,431,Belgium
115,1/1/2020,BEL,W.P. Labuan,2,2,0,Belgium
116,1/1/2020,BEN,Johor,0,0,0,Benin
117,1/1/2020,BEN,Kedah,0,0,0,Benin
118,1/1/2020,BEN,Perak,0,0,0,Benin
119,1/1/2020,BEN,Pulau Pinang,0,0,0,Benin
120,1/1/2020,BEN,Sabah,1,1,0,Benin
121,1/1/2020,BEN,Sarawak,0,0,0,Benin
122,1/1/2020,BEN,Selangor,6,5,1,Benin
123,1/1/2020,BFA,Perak,0,0,0,Burkina Faso
124,1/1/2020,BFA,Pulau Pinang,0,0,0,Burkina Faso
125,1/1/2020,BFA,Selangor,5,5,0,Burkina Faso
126,1/1/2020,BGD,Johor,5428,4954,474,Bangladesh
127,1/1/2020,BGD,Kedah,72,35,37,Bangladesh
128,1/1/2020,BGD,Kelantan,1,1,0,Bangladesh
129,1/1/2020,BGD,Melaka,17,17,0,Bangladesh
130,1/1/2020,BGD,Negeri Sembilan,0,0,0,Bangladesh
131,1/1/2020,BGD,Pahang,1,1,0,Bangladesh
132,1/1/2020,BGD,Perak,0,0,0,Bangladesh
133,1/1/2020,BGD,Perlis,0,0,0,Bangladesh
134,1/1/2020,BGD,Pulau Pinang,81,74,7,Bangladesh
135,1/1/2020,BGD,Sabah,14,7,7,Bangladesh
136,1/1/2020,BGD,Sarawak,167,151,16,Bangladesh
137,1/1/2020,BGD,Selangor,21150,17904,3246,Bangladesh
138,1/1/2020,BGD,W.P. Labuan,24,24,0,Bangladesh
139,1/1/2020,BGR,Johor,73,49,24,Bulgaria
140,1/1/2020,BGR,Kedah,68,32,36,Bulgaria
141,1/1/2020,BGR,Kelantan,0,0,0,Bulgaria
142,1/1/2020,BGR,Pahang,0,0,0,Bulgaria
143,1/1/2020,BGR,Perak,0,0,0,Bulgaria
144,1/1/2020,BGR,Perlis,1,1,0,Bulgaria
145,1/1/2020,BGR,Pulau Pinang,2,1,1,Bulgaria
146,1/1/2020,BGR,Sabah,3,2,1,Bulgaria
147,1/1/2020,BGR,Sarawak,1,1,0,Bulgaria
148,1/1/2020,BGR,Selangor,495,252,243,Bulgaria
149,1/1/2020,BGR,W.P. Labuan,2,1,1,Bulgaria
150,1/1/2020,BHR,Johor,7,4,3,Bahrain
151,1/1/2020,BHR,Kedah,5,3,2,Bahrain
152,1/1/2020,BHR,Kelantan,1,1,0,Bahrain
153,1/1/2020,BHR,Perlis,0,0,0,Bahrain
154,1/1/2020,BHR,Pulau Pinang,0,0,0,Bahrain
155,1/1/2020,BHR,Sabah,0,0,0,Bahrain
156,1/1/2020,BHR,Sarawak,4,4,0,Bahrain
157,1/1/2020,BHR,Selangor,454,260,194,Bahrain
158,1/1/2020,BHS,Johor,1,0,1,Bahamas
159,1/1/2020,BHS,Kedah,0,0,0,Bahamas
160,1/1/2020,BHS,Perak,0,0,0,Bahamas
161,1/1/2020,BHS,Sabah,1,1,0,Bahamas
162,1/1/2020,BHS,Sarawak,0,0,0,Bahamas
163,1/1/2020,BHS,Selangor,5,2,3,Bahamas
164,1/1/2020,BIH,Johor,9,4,5,Bosnia and Herzegovina
165,1/1/2020,BIH,Kedah,10,6,4,Bosnia and Herzegovina
166,1/1/2020,BIH,Perlis,0,0,0,Bosnia and Herzegovina
167,1/1/2020,BIH,Pulau Pinang,3,3,0,Bosnia and Herzegovina
168,1/1/2020,BIH,Sabah,0,0,0,Bosnia and Herzegovina
169,1/1/2020,BIH,Sarawak,2,2,0,Bosnia and Herzegovina
170,1/1/2020,BIH,Selangor,85,44,41,Bosnia and Herzegovina
171,1/1/2020,BLR,Johor,19,10,9,Belarus
172,1/1/2020,BLR,Kedah,42,19,23,Belarus
173,1/1/2020,BLR,Kelantan,2,1,1,Belarus
174,1/1/2020,BLR,Pahang,0,0,0,Belarus
175,1/1/2020,BLR,Perak,0,0,0,Belarus
176,1/1/2020,BLR,Perlis,0,0,0,Belarus
177,1/1/2020,BLR,Pulau Pinang,16,8,8,Belarus
178,1/1/2020,BLR,Sabah,10,7,3,Belarus
179,1/1/2020,BLR,Sarawak,3,1,2,Belarus
180,1/1/2020,BLR,Selangor,423,189,234,Belarus
181,1/1/2020,BLR,W.P. Labuan,0,0,0,Belarus
182,1/1/2020,BLZ,Johor,3,1,2,Belize
183,1/1/2020,BLZ,Pulau Pinang,0,0,0,Belize
184,1/1/2020,BLZ,Sarawak,0,0,0,Belize
185,1/1/2020,BLZ,Selangor,7,4,3,Belize
186,1/1/2020,BMU,Selangor,0,0,0,Bermuda
187,1/1/2020,BOL,Johor,6,2,4,Bolivia
188,1/1/2020,BOL,Kedah,0,0,0,Bolivia
189,1/1/2020,BOL,Melaka,0,0,0,Bolivia
190,1/1/2020,BOL,Perak,2,0,2,Bolivia
191,1/1/2020,BOL,Perlis,0,0,0,Bolivia
192,1/1/2020,BOL,Pulau Pinang,0,0,0,Bolivia
193,1/1/2020,BOL,Sabah,0,0,0,Bolivia
194,1/1/2020,BOL,Sarawak,0,0,0,Bolivia
195,1/1/2020,BOL,Selangor,30,15,15,Bolivia
196,1/1/2020,BRA,Johor,293,173,120,Brazil
197,1/1/2020,BRA,Kedah,163,72,91,Brazil
198,1/1/2020,BRA,Kelantan,1,0,1,Brazil
199,1/1/2020,BRA,Melaka,0,0,0,Brazil
200,1/1/2020,BRA,Pahang,0,0,0,Brazil
201,1/1/2020,BRA,Perak,6,4,2,Brazil
202,1/1/2020,BRA,Perlis,10,4,6,Brazil
203,1/1/2020,BRA,Pulau Pinang,18,12,6,Brazil
204,1/1/2020,BRA,Sabah,17,8,9,Brazil
205,1/1/2020,BRA,Sarawak,17,9,8,Brazil
206,1/1/2020,BRA,Selangor,1480,828,652,Brazil
207,1/1/2020,BRA,W.P. Labuan,0,0,0,Brazil
208,1/1/2020,BRB,Johor,1,1,0,Barbados
209,1/1/2020,BRB,Kedah,0,0,0,Barbados
210,1/1/2020,BRB,Perlis,0,0,0,Barbados
211,1/1/2020,BRB,Pulau Pinang,0,0,0,Barbados
212,1/1/2020,BRB,Selangor,10,3,7,Barbados
213,1/1/2020,BRN,Johor,496,231,265,Brunei Darussalam
214,1/1/2020,BRN,Kedah,13,9,4,Brunei Darussalam
215,1/1/2020,BRN,Kelantan,10,6,4,Brunei Darussalam
216,1/1/2020,BRN,Melaka,0,0,0,Brunei Darussalam
217,1/1/2020,BRN,Pahang,0,0,0,Brunei Darussalam
218,1/1/2020,BRN,Perak,3,2,1,Brunei Darussalam
219,1/1/2020,BRN,Perlis,13,9,4,Brunei Darussalam
220,1/1/2020,BRN,Pulau Pinang,10,4,6,Brunei Darussalam
221,1/1/2020,BRN,Sabah,1023,499,524,Brunei Darussalam
222,1/1/2020,BRN,Sarawak,77835,43927,33908,Brunei Darussalam
223,1/1/2020,BRN,Selangor,6217,3079,3138,Brunei Darussalam
224,1/1/2020,BRN,W.P. Labuan,2881,1815,1066,Brunei Darussalam
225,1/1/2020,BTN,Johor,8,6,2,Bhutan
226,1/1/2020,BTN,Kedah,1,1,0,Bhutan
227,1/1/2020,BTN,Perak,0,0,0,Bhutan
228,1/1/2020,BTN,Perlis,0,0,0,Bhutan
229,1/1/2020,BTN,Pulau Pinang,2,0,2,Bhutan
230,1/1/2020,BTN,Sabah,0,0,0,Bhutan
231,1/1/2020,BTN,Sarawak,0,0,0,Bhutan
232,1/1/2020,BTN,Selangor,66,48,18,Bhutan
233,1/1/2020,BWA,Johor,2,2,0,Botswana
234,1/1/2020,BWA,Kedah,0,0,0,Botswana
235,1/1/2020,BWA,Perlis,0,0,0,Botswana
236,1/1/2020,BWA,Pulau Pinang,0,0,0,Botswana
237,1/1/2020,BWA,Sabah,0,0,0,Botswana
238,1/1/2020,BWA,Sarawak,2,2,0,Botswana
239,1/1/2020,BWA,Selangor,25,10,15,Botswana
240,1/1/2020,CAF,Kedah,0,0,0,Central African Republic
241,1/1/2020,CAF,Selangor,0,0,0,Central African Republic
242,1/1/2020,CAN,Johor,2001,1124,877,Canada
243,1/1/2020,CAN,Kedah,320,178,142,Canada
244,1/1/2020,CAN,Kelantan,15,9,6,Canada
245,1/1/2020,CAN,Melaka,2,1,1,Canada
246,1/1/2020,CAN,Negeri Sembilan,0,0,0,Canada
247,1/1/2020,CAN,Pahang,0,0,0,Canada
248,1/1/2020,CAN,Perak,22,15,7,Canada
249,1/1/2020,CAN,Perlis,59,38,21,Canada
250,1/1/2020,CAN,Pulau Pinang,489,262,227,Canada
251,1/1/2020,CAN,Sabah,273,143,130,Canada
252,1/1/2020,CAN,Sarawak,544,303,241,Canada
253,1/1/2020,CAN,Selangor,5740,3274,2466,Canada
254,1/1/2020,CAN,Terengganu,0,0,0,Canada
255,1/1/2020,CAN,W.P. Labuan,13,11,2,Canada
256,1/1/2020,CCK,Selangor,0,0,0,Cocos (Keeling) Islands
257,1/1/2020,CHE,Johor,426,264,162,Switzerland
258,1/1/2020,CHE,Kedah,288,159,129,Switzerland
259,1/1/2020,CHE,Kelantan,11,4,7,Switzerland
260,1/1/2020,CHE,Melaka,2,1,1,Switzerland
261,1/1/2020,CHE,Negeri Sembilan,0,0,0,Switzerland
262,1/1/2020,CHE,Pahang,1,1,0,Switzerland
263,1/1/2020,CHE,Perak,17,10,7,Switzerland
264,1/1/2020,CHE,Perlis,62,44,18,Switzerland
265,1/1/2020,CHE,Pulau Pinang,151,84,67,Switzerland
266,1/1/2020,CHE,Sabah,35,22,13,Switzerland
267,1/1/2020,CHE,Sarawak,33,17,16,Switzerland
268,1/1/2020,CHE,Selangor,1413,893,520,Switzerland
269,1/1/2020,CHE,W.P. Labuan,7,6,1,Switzerland
270,1/1/2020,CHL,Johor,57,26,31,Chile
271,1/1/2020,CHL,Kedah,54,30,24,Chile
272,1/1/2020,CHL,Kelantan,1,1,0,Chile
273,1/1/2020,CHL,Melaka,0,0,0,Chile
274,1/1/2020,CHL,Pahang,0,0,0,Chile
275,1/1/2020,CHL,Perak,0,0,0,Chile
276,1/1/2020,CHL,Perlis,7,3,4,Chile
277,1/1/2020,CHL,Pulau Pinang,19,6,13,Chile
278,1/1/2020,CHL,Sabah,1,0,1,Chile
279,1/1/2020,CHL,Sarawak,1,0,1,Chile
280,1/1/2020,CHL,Selangor,366,190,176,Chile
281,1/1/2020,CHN,Johor,92472,38137,54335,China
282,1/1/2020,CHN,Kedah,5069,2188,2881,China
283,1/1/2020,CHN,Kelantan,26,11,15,China
284,1/1/2020,CHN,Melaka,2,0,2,China
285,1/1/2020,CHN,Pahang,43,21,22,China
286,1/1/2020,CHN,Perak,236,89,147,China
287,1/1/2020,CHN,Perlis,136,72,64,China
288,1/1/2020,CHN,Pulau Pinang,10906,5180,5726,China
289,1/1/2020,CHN,Sabah,12574,5703,6871,China
290,1/1/2020,CHN,Sarawak,1192,446,746,China
291,1/1/2020,CHN,Selangor,163242,75519,87723,China
292,1/1/2020,CHN,Terengganu,0,0,0,China
293,1/1/2020,CHN,W.P. Labuan,60,30,30,China
294,1/1/2020,CIV,Johor,0,0,0,C��te d'Iv
295,1/1/2020,CIV,Kedah,1,1,0,C��te d'Iv
296,1/1/2020,CIV,Pulau Pinang,1,1,0,C��te d'Iv
297,1/1/2020,CIV,Sabah,0,0,0,C��te d'Iv
298,1/1/2020,CIV,Sarawak,0,0,0,C��te d'Iv
299,1/1/2020,CIV,Selangor,36,27,9,C��te d'Iv
300,1/1/2020,CMR,Johor,3,3,0,Cameroon
301,1/1/2020,CMR,Kedah,0,0,0,Cameroon
302,1/1/2020,CMR,Pulau Pinang,0,0,0,Cameroon
303,1/1/2020,CMR,Sabah,0,0,0,Cameroon
304,1/1/2020,CMR,Sarawak,1,1,0,Cameroon
305,1/1/2020,CMR,Selangor,33,23,10,Cameroon
306,1/1/2020,COD,Johor,0,0,0,"Congo, the Democratic Republic of the"
307,1/1/2020,COD,Pulau Pinang,0,0,0,"Congo, the Democratic Republic of the"
308,1/1/2020,COD,Sarawak,0,0,0,"Congo, the Democratic Republic of the"
309,1/1/2020,COD,Selangor,9,4,5,"Congo, the Democratic Republic of the"
310,1/1/2020,COG,Johor,1,1,0,Congo
311,1/1/2020,COG,Kedah,0,0,0,Congo
312,1/1/2020,COG,Selangor,2,2,0,Congo
313,1/1/2020,COK,Selangor,0,0,0,Cook Islands
314,1/1/2020,COL,Johor,28,17,11,Colombia
315,1/1/2020,COL,Kedah,0,0,0,Colombia
316,1/1/2020,COL,Perak,0,0,0,Colombia
317,1/1/2020,COL,Pulau Pinang,2,0,2,Colombia
